Participant_ID,Gender,Age,Marital_Status,Educational_Level,Monthly_Income,Family_Size,ECP_Name,ECP_Use_times_yr,Purchase_Qty,ECP_Source,Usability_Navigation,Content_and_Clarity,User_Engagement,Functionality_Features,User_Cantered_Design,Result
117,Male,60,Married,PHD,1000,5,OpenSooq,3,6,Referred from other website,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
118,Female,30,Married,Diploma,200,2,Amazon,3,3,"Social media applications like Facebook, Instagram and others",Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
119,Female,50,Married,Higher Diploma,1000,7,Cdiscount,3,9,"Social media applications like Facebook, Instagram and others",Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
120,Male,60,Married,Master,1000,7,ebay,10,6,"Social media applications like Facebook, Instagram and others",Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree
121,Male,20,Married,Secondary certificate,200,2,Modanisa,3,3,From online advertisement,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree
122,Male,50,Married,Bachelor,800,2,Cdiscount,3,6,From online advertisement,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree
123,Male,60,Married,Master,800,7,Shein,6,9,From online advertisement,Agree,Agree,Neutral,Agree,Strongly Agree,Agree
124,Male,30,Married,Bachelor,500,2,Cdiscount,3,3,Referred from other website,Neutral,Agree,Agree,Agree,Strongly Agree,Agree
125,Female,50,Married,Master,1000,5,ebay,9,6,Search engines like google,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree
126,Male,60,Married,PHD,1000,5,Cdiscount,3,6,Search engines like google,Neutral,Neutral,Agree,Strongly Agree,Neutral,Neutral
127,Female,30,Married,Diploma,500,2,Amazon,3,3,"Social media applications like Facebook, Instagram and others",Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree
128,Female,50,Married,Bachelor,1000,2,Amazon,6,6,From online advertisement,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
129,Female,30,Married,Higher Diploma,500,5,Cdiscount,3,9,Referred from other website,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree
130,Male,30,Married,Bachelor,200,2,ebay,3,3,From online advertisement,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree
131,Male,30,Married,Higher Diploma,500,2,Amazon,3,6,Referred from other website,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree
132,Female,30,Married,Bachelor,1000,2,Others,10,9,"Social media applications like Facebook, Instagram and others",Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree
133,Male,40,Married,Master,1000,2,Modanisa,3,3,Referred from other website,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Agree
134,Female,40,Married,Higher Diploma,800,2,OpenSooq,6,6,From online advertisement,Neutral,Agree,Neutral,Agree,Neutral,Neutral
135,Male,20,Single,Diploma,200,2,Amazon,6,3,"Social media applications like Facebook, Instagram and others",Agree,Agree,Strongly Agree,Neutral,Agree,Agree
136,Male,20,Married,Diploma,500,2,Esty,9,9,"Social media applications like Facebook, Instagram and others",Agree,Agree,Neutral,Agree,Agree,Agree
137,Female,40,Married,Master,1000,5,Cdiscount,6,9,From online advertisement,Agree,Neutral,Agree,Agree,Strongly Agree,Agree
138,Male,60,Married,PHD,1000,7,Others,3,6,Other,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree
